id,t0_balde_num,g_ng,date_marked,t0_notes,date_collected,shoot_bag_weight,shoot_plus_bag_weight,rhizome_bag_weight,rhizome_plus_bag_weight,rhizome_weight,shoot_weight,length,duration,sheath_length,shoot_width,blade_number_tx,gfc_weight,gfc_weight_plus_sample,epi_weight,total_liquid,site,collection_point,tx_notes,ref_legth,b1_full,b1_new,b1_old,b2_full,b2_new,b2_old,b3_full,b3_new,b3_old,b4_full,b4_new,b4_old,b5_full,b5_new,b5_old,b6_full,b6_new,b6_old,b7_full,b7_new,b7_old,b8_full,b8_new,b9_old,b9_full,b9_new,b9_old,b10_full,b10_new,b10_old,baby_1,baby_2,notes,extention,original_length_Remaining,rgr_perday
68,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,24.1,0.4,4,,,0,,high,t2,,2.9,115.2,3.1,112.1,38.1,0.6,37.5,82.9,7.3,75.6,35.7,,35.7,,,0,,,0,,,0,,,0,,,0,,,0,,,,11,263.8,0.03260225252
69,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,just root,0,0,#DIV/0!
76,4,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,just root,0,0,#DIV/0!
77,5,g,7-June-25,,21-June-25,,,,,0,0,,14,,0.4,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,shooot too wrangled,0,0,#DIV/0!
78,5,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,just root,0,0,#DIV/0!
87,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,11.2,0.7,6,,,0,,high,t2,,1.3,9.7,0.4,9.3,34.2,,34.2,13.8,,13.8,51.3,,51.3,14.4,2.1,12.3,,,0,,,0,,,0,,,0,,,0,5.7,,,8.2,122.2,0.05229591837
94,5,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,fell apart/ wrangled,0,0,#DIV/0!
99,,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
106,4,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,just root,0,0,#DIV/0!
129,5,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
150,7,ng,7-June-25,,21-June-25,,,,,0,0,,14,16.6,0.4,7,,,0,,high,t2,,2.2,46.2,,46.2,27.6,,27.6,67.2,14.2,53,36.2,4,32.2,42.2,30,12.2,34,25,9,,,0,,,0,,,0,,,0,12.2,,,85.4,182.4,0.3674698795
